29.167	384.62	74
450	769.23	66
890.63	1153.8	79
1262.5	1538.5	80
1794.8	1923.1	72
2195.8	2307.7	70
2663.5	2692.3	79
3084.4	3076.9	85
3468.8	3461.5	74
3944.8	3846.1	85
4375	4230.8	74
5792.7	5384.6	80
9681.3	8001.4	79
10311	8160.2	80
10506	8238.5	85
10595	8319.5	79
10725	8439.5	87
11140	8734.9	81
11671	9065.5	84
12231	9393	86
12879	9723.5	80
13566	9963.9	81
13642	10054	79
14142	10385	87
14741	10577	85
14834	10661	80
14974	10769	87
15724	11154	86
16456	11430	79
16540	11538	87
17590	11923	81
18046	12091	85
18107	12207	87
18481	12434	81
19011	12692	86
19745	12855	79
19885	12939	85
19969	13023	80
20094	13131	87
20671	13570	83
21184	14008	81
21834	14450	85
22554	14889	79
23468	15228	87
23566	15359	86
24836	15769	92
25226	15907	86
25319	16008	85
25444	16114	87
25955	16382	81
26492	16692	79
27158	16890	87
27301	17042	92
