13.542	0	74
292.71	500	73
552.08	1000	79
1139.6	2000	73
3556.3	6500	79
3700	6750	70
3795.8	7000	71
3934.4	7250	66
4066.7	7500	73
4174	7750	74
4307.3	8000	68
6210.4	11500	73
6349	11750	68
6490.6	12000	60
6578.1	12250	63
6715.6	12500	66
6845.8	12750	74
6983.3	13000	68
8619.8	15500	74
8736.5	15664	66
8822.9	15832	63
8925	16000	73
12395	22500	79
15116	27500	68
15257	27750	76
15401	28000	79
16741	30500	73
16852	30664	79
16916	30832	68
16992	31000	66
17061	31125	70
17131	31250	71
17196	31375	63
17251	31500	60
17332	31625	66
17389	31750	64
17470	31875	67
17555	32000	68
19242	35000	73
21858	40000	74
21945	40125	70
22038	40250	71
22085	40375	69
22153	40500	73
22223	40664	77
22311	40832	76
22392	41000	70
22475	41164	69
22551	41332	63
22626	41500	68
26348	48500	60
26479	48750	70
26610	49000	66
26770	49250	73
26873	49500	74
27143	50000	79
