5.2083	0	66
106.25	164.06	69
197.92	331.98	68
271.88	500	72
356.25	664.06	75
450	831.98	73
553.13	1000	79
643.75	1164.1	71
717.71	1332	68
798.96	1500	65
889.58	1664.1	70
978.13	1832	74
1074	2000	79
1184.4	2164.1	73
1270.8	2332	72
1384.4	2500	66
1480.2	2664.1	69
1582.3	2832	68
1677.1	3000	71
1791.7	3164.1	66
1867.7	3332	70
1978.1	3500	65
2056.3	3664.1	63
2138.5	3832	62
2249	4000	66
2335.4	4164.1	61
2422.9	4332	64
2518.8	4500	60
2608.3	4664.1	63
2706.3	4832	65
2800	5000	66
2887.5	5164.1	71
2970.8	5332	63
3085.4	5500	60
3188.5	5664.1	68
3269.8	5832	69
3367.7	6000	73
3457.3	6164.1	66
3546.9	6332	71
3660.4	6500	65
3752.1	6664.1	70
3832.3	6832	68
3930.2	7000	73
4006.2	7164.1	76
4099	7332	70
4208.3	7500	66
4296.9	7664.1	73
4401	7832	74
4491.7	8000	71
4608.3	8164.1	70
4705.2	8332	72
4796.9	8500	66
4911.5	8664.1	63
4992.7	8832	69
5095.8	9000	65
5190.6	9164.1	68
5282.3	9332	76
5691.7	10000	79
5778.1	10164	74
5864.6	10332	77
5965.6	10500	72
6043.8	10664	71
6128.1	10832	75
6232.3	11000	70
6315.6	11164	76
6419.8	11332	69
6502.1	11500	68
6597.9	11664	72
6670.8	11832	71
6764.6	12000	73
6853.1	12164	70
6944.8	12332	74
7042.7	12500	68
7138.5	12664	73
7231.3	12832	74
7324	13000	79
7441.7	13164	72
7520.8	13332	71
8760.4	15500	68
8863.5	15664	74
8953.1	15832	79
9045.8	16000	81
9146.9	16164	71
9234.4	16332	72
9314.6	16500	68
9404.2	16664	72
9476	16832	66
9561.5	17000	63
9655.2	17164	65
9742.7	17332	64
9851	17500	68
9939.6	17664	73
10015	17832	72
10099	18000	74
10213	18164	67
10304	18332	69
10392	18500	68
10477	18664	71
10578	18832	70
10680	19000	74
10769	19164	78
10869	19332	73
10957	19500	79
11036	19664	74
11139	19832	77
11226	20000	73
11317	20164	72
11399	20332	68
