   1384	      0	     75
   1909	    188	     73
   2253	    375	     73
   2344	    563	     72
   2591	    750	     70
   2909	   1313	     69
   3647	   1875	     72
   4541	   2813	     77
   4803	   3000	     75
   5047	   3188	     73
   5291	   3375	     73
   5453	   3563	     72
   5778	   3750	     70
   6063	   4313	     69
   7341	   5325	     65
   7669	   5813	     69
   8231	   6262	     65
   8456	   6375	     72
   9013	   6825	     69
   9269	   7313	     75
   9813	   7688	     72
  10125	   7875	     69
  10850	   8325	     65
  11056	   8813	     69
  11694	   9263	     65
  11828	   9375	     72
  12406	   9825	     69
  12691	  10313	     75
  14638	  12000	     79
  14922	  12188	     77
  15150	  12375	     75
  15419	  12563	     74
  16041	  12750	     72
  16372	  13313	     70
  16594	  13500	     65
  16841	  13688	     74
  17050	  13875	     74
  17197	  14063	     70
  17425	  14250	     77
  17800	  14813	     77
  18278	  15188	     79
  18475	  15375	     77
  18656	  15463	     75
  19103	  15750	     74
  19400	  16313	     74
  19653	  16500	     72
  19909	  16688	     72
  20138	  16875	     72
  20334	  17063	     74
  20591	  17250	     70
  20922	  17813	     74
  21728	  18375	     72
  22316	  18750	     65
  22578	  19313	     70
  22844	  19500	     65
  23056	  19688	     74
  23272	  19875	     74
  23475	  20063	     70
  23737	  20250	     77
  24191	  20813	     77
  24487	  21188	     79
  24841	  21375	     77
  25081	  21463	     75
  25597	  21750	     74
  26156	  22313	     74
  27684	  22688	     75
  28088	  22875	     74
  28219	  22963	     72
  29900	  23813	     72
  30137	  24000	     74
  30319	  24188	     75
  30603	  24375	     65
  30856	  24563	     67
  31128	  24750	     69
  31375	  25313	     70
  32381	  26813	     74
